Project,CT_Definition,CT_Column,N_total,N_missing,N_nonpositive,N_usable,Coverage_pct,Median_minutes,Q1_minutes,Q3_minutes,IQR_minutes,P10_minutes,P90_minutes,Min_minutes,Max_minutes,Mean_minutes,Std_minutes,Median_days,Q1_days,Q3_days,IQR_days,P10_days,P90_days,Min_days,Max_days,Mean_days
JRACLOUD,CT1,CT1_Resolution_Time_Minutes,5433,0,3789,1644,30.26,86002.5,14830.75,510208.25,495377.5,1735.4,826464.0000000001,1.0,1442755.0,270471.1660583942,332251.47809272906,59.723958333333336,10.299131944444444,354.31128472222224,344.01215277777777,1.205138888888889,573.9333333333334,0.0006944444444444445,1001.9131944444445,187.82719865166263
JRACLOUD,CT2,CT2_In_Progress_Minutes,5433,0,5215,218,4.01,10650.0,1549.0,39917.5,38368.5,53.300000000000026,128860.30000000009,1.0,698660.0,45083.6743119266,90355.36551762886,7.395833333333333,1.0756944444444445,27.72048611111111,26.644791666666666,0.03701388888888891,89.4863194444445,0.0006944444444444445,485.18055555555554,31.308107161060143
JRACLOUD,CT3,CT3_Resolution_minus_Created_Minutes,5433,3787,2,1644,30.26,86002.5,14830.75,510209.0,495378.25,1735.4,826464.0000000001,1.0,1442756.0,270471.17700729927,332251.48123404226,59.723958333333336,10.299131944444444,354.31180555555557,344.0126736111111,1.205138888888889,573.9333333333334,0.0006944444444444445,1001.9138888888889,187.82720625506894
JRACLOUD,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,5433,5158,32,243,4.47,12905.0,2655.0,51435.0,48780.0,101.80000000000008,181643.6,1.0,718681.0,57499.181069958846,112926.5880793716,8.961805555555555,1.84375,35.71875,33.875,0.0706944444444445,126.1413888888889,0.0006944444444444445,499.0840277777778,39.929986854138086
JRACLOUD,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,5433,5146,22,265,4.88,108156.0,10038.0,366590.0,356552.0,1063.6000000000004,627591.6,1.0,837755.0,216587.23396226414,252003.69476839487,75.10833333333333,6.970833333333333,254.57638888888889,247.60555555555555,0.7386111111111113,435.8275,0.0006944444444444445,581.7743055555555,150.40780136268344
JRACLOUD,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,5433,5146,149,138,2.54,12804.0,1715.5,49678.5,47963.0,51.500000000000014,144902.8999999999,1.0,465507.0,50365.934782608696,91001.67909457612,8.891666666666667,1.1913194444444444,34.498958333333334,33.30763888888889,0.0357638888888889,100.62701388888883,0.0006944444444444445,323.26875,34.97634359903382
MDL,CT1,CT1_Resolution_Time_Minutes,8521,0,3625,4896,57.46,27874.5,7697.0,93004.5,85307.5,1144.0,256601.0,1.0,1410121.0,94762.92340686274,178982.03486638772,19.357291666666665,5.345138888888889,64.58645833333334,59.24131944444444,0.7944444444444444,178.1951388888889,0.0006944444444444445,979.2506944444444,65.80758569921024
MDL,CT2,CT2_In_Progress_Minutes,8521,0,8521,0,0.0,,,,,,,,,,,,,,,,,,,
MDL,CT3,CT3_Resolution_minus_Created_Minutes,8521,3620,5,4896,57.46,27901.0,7697.0,93004.5,85307.5,1144.0,256631.0,1.0,1410181.0,94766.39154411765,178985.3495378119,19.375694444444445,5.345138888888889,64.58645833333334,59.24131944444444,0.7944444444444444,178.21597222222223,0.0006944444444444445,979.2923611111111,65.80999412785948
MDL,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,8521,5032,26,3463,40.64,15934.0,7037.5,39481.5,32444.0,2870.6000000000013,85880.40000000005,1.0,1299207.0,40694.05515449033,84437.3504160352,11.065277777777778,4.887152777777778,27.417708333333334,22.530555555555555,1.9934722222222232,59.6391666666667,0.0006944444444444445,902.2270833333333,28.259760523951616
